name	run	timing
benchmark/imdb/19a.benchmark	1	0.843430
benchmark/imdb/19a.benchmark	2	0.855029
benchmark/imdb/19a.benchmark	3	0.842785
benchmark/imdb/19a.benchmark	4	0.848471
benchmark/imdb/19a.benchmark	5	0.855783
benchmark/imdb/19b.benchmark	1	0.667061
benchmark/imdb/19b.benchmark	2	0.677381
benchmark/imdb/19b.benchmark	3	0.667803
benchmark/imdb/19b.benchmark	4	0.672673
benchmark/imdb/19b.benchmark	5	0.676790
benchmark/imdb/19c.benchmark	1	0.891612
benchmark/imdb/19c.benchmark	2	0.893923
benchmark/imdb/19c.benchmark	3	0.895730
benchmark/imdb/19c.benchmark	4	0.911448
benchmark/imdb/19c.benchmark	5	0.897372
benchmark/imdb/19d.benchmark	1	1.357258
benchmark/imdb/19d.benchmark	2	1.297920
benchmark/imdb/19d.benchmark	3	1.280362
benchmark/imdb/19d.benchmark	4	1.275716
benchmark/imdb/19d.benchmark	5	1.274821
benchmark/imdb/20a.benchmark	1	0.557578
benchmark/imdb/20a.benchmark	2	0.555971
benchmark/imdb/20a.benchmark	3	0.583092
benchmark/imdb/20a.benchmark	4	0.564132
benchmark/imdb/20a.benchmark	5	0.556729
benchmark/imdb/20b.benchmark	1	0.556209
benchmark/imdb/20b.benchmark	2	0.588577
benchmark/imdb/20b.benchmark	3	0.550754
benchmark/imdb/20b.benchmark	4	0.555235
benchmark/imdb/20b.benchmark	5	0.562329
benchmark/imdb/20c.benchmark	1	0.557328
benchmark/imdb/20c.benchmark	2	0.538829
benchmark/imdb/20c.benchmark	3	0.539401
benchmark/imdb/20c.benchmark	4	0.554394
benchmark/imdb/20c.benchmark	5	0.564444
benchmark/imdb/21a.benchmark	1	0.370327
benchmark/imdb/21a.benchmark	2	0.368448
benchmark/imdb/21a.benchmark	3	0.383611
benchmark/imdb/21a.benchmark	4	0.376909
benchmark/imdb/21a.benchmark	5	0.376136
benchmark/imdb/21b.benchmark	1	0.312573
benchmark/imdb/21b.benchmark	2	0.305548
benchmark/imdb/21b.benchmark	3	0.298528
benchmark/imdb/21b.benchmark	4	0.311143
benchmark/imdb/21b.benchmark	5	0.306637
benchmark/imdb/21c.benchmark	1	0.390611
benchmark/imdb/21c.benchmark	2	0.389988
benchmark/imdb/21c.benchmark	3	0.388978
benchmark/imdb/21c.benchmark	4	0.394518
benchmark/imdb/21c.benchmark	5	0.398854
benchmark/imdb/22a.benchmark	1	0.549021
benchmark/imdb/22a.benchmark	2	0.550135
benchmark/imdb/22a.benchmark	3	0.546538
benchmark/imdb/22a.benchmark	4	0.545801
benchmark/imdb/22a.benchmark	5	0.549990
benchmark/imdb/22b.benchmark	1	0.436413
benchmark/imdb/22b.benchmark	2	0.435716
benchmark/imdb/22b.benchmark	3	0.418898
benchmark/imdb/22b.benchmark	4	0.417491
benchmark/imdb/22b.benchmark	5	0.429155
benchmark/imdb/22c.benchmark	1	0.774639
benchmark/imdb/22c.benchmark	2	0.768886
benchmark/imdb/22c.benchmark	3	0.780244
benchmark/imdb/22c.benchmark	4	0.785929
benchmark/imdb/22c.benchmark	5	0.790175
benchmark/imdb/22d.benchmark	1	1.118654
benchmark/imdb/22d.benchmark	2	1.095798
benchmark/imdb/22d.benchmark	3	1.103381
benchmark/imdb/22d.benchmark	4	1.090989
benchmark/imdb/22d.benchmark	5	1.071476
benchmark/imdb/23a.benchmark	1	0.414042
benchmark/imdb/23a.benchmark	2	0.435959
benchmark/imdb/23a.benchmark	3	0.419337
benchmark/imdb/23a.benchmark	4	0.417404
benchmark/imdb/23a.benchmark	5	0.436958
benchmark/imdb/23b.benchmark	1	0.426587
benchmark/imdb/23b.benchmark	2	0.416097
benchmark/imdb/23b.benchmark	3	0.427590
benchmark/imdb/23b.benchmark	4	0.418070
benchmark/imdb/23b.benchmark	5	0.426990
benchmark/imdb/23c.benchmark	1	0.437119
benchmark/imdb/23c.benchmark	2	0.436379
benchmark/imdb/23c.benchmark	3	0.429928
benchmark/imdb/23c.benchmark	4	0.427732
benchmark/imdb/23c.benchmark	5	0.433636
benchmark/imdb/24a.benchmark	1	0.964472
benchmark/imdb/24a.benchmark	2	0.963974
benchmark/imdb/24a.benchmark	3	0.957324
benchmark/imdb/24a.benchmark	4	0.967300
benchmark/imdb/24a.benchmark	5	0.963264
benchmark/imdb/24b.benchmark	1	0.772241
benchmark/imdb/24b.benchmark	2	0.781633
benchmark/imdb/24b.benchmark	3	0.781975
benchmark/imdb/24b.benchmark	4	0.790587
benchmark/imdb/24b.benchmark	5	0.779019
benchmark/imdb/25a.benchmark	1	0.705741
benchmark/imdb/25a.benchmark	2	0.711985
benchmark/imdb/25a.benchmark	3	0.708461
benchmark/imdb/25a.benchmark	4	0.702740
benchmark/imdb/25a.benchmark	5	0.746786
benchmark/imdb/25b.benchmark	1	0.601617
benchmark/imdb/25b.benchmark	2	0.612811
benchmark/imdb/25b.benchmark	3	0.618831
benchmark/imdb/25b.benchmark	4	0.625373
benchmark/imdb/25b.benchmark	5	0.613798
benchmark/imdb/25c.benchmark	1	1.001799
benchmark/imdb/25c.benchmark	2	0.988131
benchmark/imdb/25c.benchmark	3	0.986469
benchmark/imdb/25c.benchmark	4	0.983598
benchmark/imdb/25c.benchmark	5	0.996150
benchmark/imdb/26a.benchmark	1	0.933786
benchmark/imdb/26a.benchmark	2	0.934389
benchmark/imdb/26a.benchmark	3	0.917444
benchmark/imdb/26a.benchmark	4	0.921365
benchmark/imdb/26a.benchmark	5	0.923098
benchmark/imdb/26b.benchmark	1	0.434250
benchmark/imdb/26b.benchmark	2	0.441809
benchmark/imdb/26b.benchmark	3	0.430910
benchmark/imdb/26b.benchmark	4	0.448229
benchmark/imdb/26b.benchmark	5	0.442815
benchmark/imdb/26c.benchmark	1	0.990437
benchmark/imdb/26c.benchmark	2	0.986669
benchmark/imdb/26c.benchmark	3	1.011516
benchmark/imdb/26c.benchmark	4	0.995042
benchmark/imdb/26c.benchmark	5	0.986280
benchmark/imdb/27a.benchmark	1	0.375242
benchmark/imdb/27a.benchmark	2	0.366366
benchmark/imdb/27a.benchmark	3	0.358003
benchmark/imdb/27a.benchmark	4	0.382922
benchmark/imdb/27a.benchmark	5	0.355194
benchmark/imdb/27b.benchmark	1	0.341800
benchmark/imdb/27b.benchmark	2	0.343589
benchmark/imdb/27b.benchmark	3	0.350632
benchmark/imdb/27b.benchmark	4	0.344960
benchmark/imdb/27b.benchmark	5	0.351112
benchmark/imdb/27c.benchmark	1	0.387632
benchmark/imdb/27c.benchmark	2	0.390816
benchmark/imdb/27c.benchmark	3	0.394720
benchmark/imdb/27c.benchmark	4	0.395981
benchmark/imdb/27c.benchmark	5	0.386576
benchmark/imdb/28a.benchmark	1	0.646366
benchmark/imdb/28a.benchmark	2	0.640292
benchmark/imdb/28a.benchmark	3	0.633779
benchmark/imdb/28a.benchmark	4	0.647914
benchmark/imdb/28a.benchmark	5	0.649103
benchmark/imdb/28b.benchmark	1	0.470708
benchmark/imdb/28b.benchmark	2	0.470807
benchmark/imdb/28b.benchmark	3	0.474548
benchmark/imdb/28b.benchmark	4	0.476326
benchmark/imdb/28b.benchmark	5	0.468988
benchmark/imdb/28c.benchmark	1	0.645190
benchmark/imdb/28c.benchmark	2	0.639673
benchmark/imdb/28c.benchmark	3	0.641606
benchmark/imdb/28c.benchmark	4	0.649720
benchmark/imdb/28c.benchmark	5	0.641620
benchmark/imdb/29a.benchmark	1	0.769891
benchmark/imdb/29a.benchmark	2	0.764897
benchmark/imdb/29a.benchmark	3	0.777413
benchmark/imdb/29a.benchmark	4	0.767516
benchmark/imdb/29a.benchmark	5	0.772646
benchmark/imdb/29b.benchmark	1	0.699095
benchmark/imdb/29b.benchmark	2	0.708360
benchmark/imdb/29b.benchmark	3	0.710986
benchmark/imdb/29b.benchmark	4	0.709142
benchmark/imdb/29b.benchmark	5	0.713898
benchmark/imdb/29c.benchmark	1	0.875655
benchmark/imdb/29c.benchmark	2	0.874766
benchmark/imdb/29c.benchmark	3	0.877574
benchmark/imdb/29c.benchmark	4	0.865235
benchmark/imdb/29c.benchmark	5	0.881560
benchmark/imdb/30a.benchmark	1	0.763078
benchmark/imdb/30a.benchmark	2	0.771719
benchmark/imdb/30a.benchmark	3	0.770679
benchmark/imdb/30a.benchmark	4	0.758610
benchmark/imdb/30a.benchmark	5	0.750862
benchmark/imdb/30b.benchmark	1	0.679327
benchmark/imdb/30b.benchmark	2	0.684071
benchmark/imdb/30b.benchmark	3	0.673691
benchmark/imdb/30b.benchmark	4	0.678402
benchmark/imdb/30b.benchmark	5	0.680831
benchmark/imdb/30c.benchmark	1	0.891032
benchmark/imdb/30c.benchmark	2	0.880970
benchmark/imdb/30c.benchmark	3	0.880359
benchmark/imdb/30c.benchmark	4	0.889192
benchmark/imdb/30c.benchmark	5	0.867577
benchmark/imdb/31a.benchmark	1	0.767250
benchmark/imdb/31a.benchmark	2	0.771138
benchmark/imdb/31a.benchmark	3	0.777384
benchmark/imdb/31a.benchmark	4	0.766711
benchmark/imdb/31a.benchmark	5	0.771024
benchmark/imdb/31b.benchmark	1	0.724529
benchmark/imdb/31b.benchmark	2	0.720958
benchmark/imdb/31b.benchmark	3	0.730539
benchmark/imdb/31b.benchmark	4	0.709761
benchmark/imdb/31b.benchmark	5	0.709232
benchmark/imdb/31c.benchmark	1	0.905166
benchmark/imdb/31c.benchmark	2	0.914792
benchmark/imdb/31c.benchmark	3	0.924201
benchmark/imdb/31c.benchmark	4	0.915621
benchmark/imdb/31c.benchmark	5	0.913166
benchmark/imdb/32a.benchmark	1	0.017117
benchmark/imdb/32a.benchmark	2	0.017743
benchmark/imdb/32a.benchmark	3	0.016021
benchmark/imdb/32a.benchmark	4	0.020893
benchmark/imdb/32a.benchmark	5	0.016123
benchmark/imdb/32b.benchmark	1	0.141078
benchmark/imdb/32b.benchmark	2	0.145633
benchmark/imdb/32b.benchmark	3	0.144522
benchmark/imdb/32b.benchmark	4	0.146294
benchmark/imdb/32b.benchmark	5	0.139055
benchmark/imdb/33a.benchmark	1	0.236658
benchmark/imdb/33a.benchmark	2	0.223884
benchmark/imdb/33a.benchmark	3	0.232595
benchmark/imdb/33a.benchmark	4	0.227495
benchmark/imdb/33a.benchmark	5	0.228791
benchmark/imdb/33b.benchmark	1	0.225666
benchmark/imdb/33b.benchmark	2	0.241363
benchmark/imdb/33b.benchmark	3	0.226581
benchmark/imdb/33b.benchmark	4	0.226721
benchmark/imdb/33b.benchmark	5	0.258103
benchmark/imdb/33c.benchmark	1	0.240769
benchmark/imdb/33c.benchmark	2	0.259732
benchmark/imdb/33c.benchmark	3	0.244918
benchmark/imdb/33c.benchmark	4	0.285731
benchmark/imdb/33c.benchmark	5	0.232403

real	7m4,358s
user	45m4,839s
sys	0m43,307s

